都道府県,韓国,台湾,香港,中国,タイ,シンガポール,マレーシア,インドネシア,フィリピン,ベトナム,インド,英国,ドイツ,フランス,イタリア,スペイン,ロシア,米国,カナダ,オーストラリア
北海道,9.1,9.3,5.9,4.2,10.2,8.2,10.3,2.9,2.6,1.4,2.6,4.6,3.5,2.5,2.6,0.3,4.6,3.9,4.2,9.1
青森,0.2,1.5,0.8,0.3,0.6,0.5,0.9,0.3,0.1,0.1,0.2,1.1,0.6,1.1,0.4,0.1,0.0,1.1,0.5,2.0
岩手,0.1,1.8,0.3,0.1,0.2,0.2,0.4,0.2,0.1,0.1,0.0,0.4,0.8,0.3,0.2,0.1,0.0,0.2,0.3,0.5
宮城,0.3,3.8,0.9,0.6,0.9,0.9,1.5,0.7,0.3,0.3,0.5,1.8,2.0,1.3,0.6,1.1,0.0,1.0,0.6,1.6
秋田,0.0,0.9,0.4,0.2,0.1,0.0,0.2,0.2,0.1,0.0,0.0,0.4,0.7,0.4,0.1,0.0,0.0,0.2,0.5,0.7
山形,0.1,2.2,0.5,0.1,0.4,0.2,1.3,0.1,0.2,0.2,0.0,0.4,0.6,0.7,0.2,0.1,0.0,0.3,0.1,0.4
福島,0.0,1.2,0.3,0.1,0.4,0.3,0.8,0.2,0.4,0.2,0.4,0.7,1.0,0.4,0.2,0.5,0.5,0.4,0.1,0.9
茨城,0.3,0.8,0.5,0.4,0.9,0.4,1.2,1.4,1.5,0.5,0.8,0.8,0.9,0.8,0.9,0.5,0.8,0.6,0.5,0.1
栃木,0.1,1.4,0.8,0.6,2.8,1.0,2.2,1.5,1.0,0.9,2.2,2.6,4.2,5.0,7.5,7.0,1.0,1.6,1.9,2.6
群馬,0.1,0.7,0.7,0.3,0.8,0.4,0.9,0.5,0.7,0.9,0.5,1.2,0.8,1.5,0.3,2.4,0.0,0.7,0.7,0.9
埼玉,0.5,1.2,1.1,1.6,1.9,1.5,1.4,2.9,2.2,2.5,1.7,0.9,1.8,0.7,0.9,0.3,1.8,0.9,1.8,1.2
千葉,21.1,29.6,33.6,36.6,44.5,46.2,46.6,52.5,55.7,56.8,61.2,34.2,41.1,38.0,37.0,53.3,41.1,47.9,66.3,56.7
東京,24.8,34.4,38.7,53.2,51.0,64.4,63.8,86.3,58.8,64.8,86.4,90.8,91.3,93.4,94.9,96.4,93.3,90.6,85.7,89.3
神奈川,2.8,6.2,5.9,11.6,7.2,9.0,10.8,8.7,8.3,7.2,15.6,17.3,20.9,24.5,21.7,23.5,19.0,16.9,15.8,16.0
新潟,0.1,1.0,0.6,0.4,1.2,0.4,1.1,0.7,1.0,0.7,0.5,0.7,0.9,1.0,0.3,0.1,4.4,0.5,0.7,1.5
富山,0.2,2.7,1.7,0.6,0.9,1.7,1.2,1.4,0.6,0.6,1.2,0.5,0.9,1.5,0.4,0.3,0.0,0.3,0.6,0.8
石川,0.1,3.2,1.2,0.9,0.6,2.0,1.2,1.7,0.6,0.3,1.9,7.0,6.0,10.1,24.0,12.9,8.8,2.9,4.0,5.0
福井,0.0,0.3,0.4,0.1,0.1,0.3,0.0,0.1,0.1,0.1,0.1,0.2,0.9,1.0,0.3,0.2,0.0,0.1,0.4,0.3
山梨,0.8,6.3,6.0,11.6,17.5,13.1,23.2,14.2,11.8,27.0,13.1,12.0,9.2,14.1,7.5,10.3,11.9,7.4,9.6,13.6
長野,0.3,4.5,3.3,1.1,5.1,4.4,2.4,5.9,1.5,1.0,2.0,6.2,6.0,8.6,4.1,3.8,3.1,2.7,3.8,13.5
岐阜,0.8,5.0,4.1,1.4,4.6,4.4,3.3,3.7,2.8,2.5,2.5,5.1,5.5,8.8,15.8,19.7,3.2,2.3,3.8,5.9
静岡,1.0,2.5,3.1,6.0,3.9,4.7,6.5,9.4,6.7,7.2,6.3,4.8,5.6,5.0,3.9,1.0,2.4,2.8,4.4,5.9
愛知,3.4,8.0,8.2,10.5,6.6,7.8,4.7,4.5,9.3,14.6,6.1,3.2,7.5,8.9,6.7,4.2,0.6,4.2,4.7,5.4
三重,0.2,1.4,1.6,0.4,0.7,0.9,1.1,0.2,2.0,0.9,0.2,0.3,0.7,2.1,0.3,1.1,0.2,0.5,0.4,0.9
滋賀,0.1,0.9,0.9,0.7,0.1,0.4,0.3,0.1,0.3,0.4,0.9,0.7,0.8,0.9,0.9,1.2,0.0,0.4,0.6,0.3
京都,16.2,18.8,18.9,37.5,19.3,29.6,31.3,31.8,23.2,30.2,33.0,51.7,57.2,64.1,73.2,79.5,57.6,43.4,48.6,50.3
大阪,30.7,26.7,31.0,53.9,32.6,40.4,44.4,44.4,37.6,48.4,38.8,49.4,54.1,59.8,64.5,76.9,60.0,40.3,52.0,55.8
兵庫,3.4,4.4,5.6,7.4,4.2,5.2,5.5,3.6,4.8,6.0,2.5,7.0,10.1,10.6,10.8,8.2,8.9,4.6,7.7,6.3
奈良,2.8,4.5,4.5,14.4,3.3,8.2,11.3,6.0,9.7,4.7,10.1,15.4,20.4,26.7,34.0,35.4,24.9,11.2,15.4,13.1
和歌山,0.2,0.8,2.2,1.7,0.5,1.1,1.2,0.1,0.2,0.6,2.3,3.9,3.3,4.6,4.6,4.4,0.0,1.0,2.1,2.3
鳥取,0.3,0.4,0.7,0.2,0.1,0.2,0.1,0.0,0.0,0.0,0.1,0.1,0.2,0.4,0.3,0.0,0.0,0.2,0.3,0.2
島根,0.1,0.3,0.2,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.1,0.3,0.4,0.0,0.0,0.2,0.2,0.1,0.3
岡山,0.4,1.9,1.0,0.5,0.6,1.0,0.2,0.8,1.4,1.1,0.4,1.9,2.5,3.1,0.7,1.8,2.9,0.7,0.8,2.0
広島,0.9,1.4,1.0,0.5,1.0,1.8,0.6,1.2,2.0,0.8,10.1,20.6,16.6,19.5,23.2,18.2,3.4,8.1,11.3,16.9
山口,1.3,0.4,0.4,0.1,0.3,0.3,0.2,0.1,0.5,0.1,0.0,0.2,0.5,0.5,0.1,0.2,0.0,0.5,0.4,0.4
徳島,0.1,0.5,0.8,0.1,0.2,0.2,0.1,0.3,0.1,0.2,0.2,0.5,0.6,0.6,0.1,0.0,0.2,0.2,0.2,0.2
香川,0.9,1.5,1.4,0.6,0.2,0.2,0.1,0.1,0.2,0.0,0.1,1.6,1.7,2.2,0.6,0.6,1.8,0.4,1.0,1.5
愛媛,0.1,0.9,0.6,0.1,0.1,0.3,0.1,0.3,0.4,0.4,0.2,0.7,1.0,1.3,0.5,0.7,0.2,0.3,0.5,0.6
高知,0.0,0.5,0.4,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.6,0.4,0.8,0.1,0.0,0.0,0.3,0.6,0.6
福岡,25.7,9.1,14.2,4.1,9.4,5.7,2.7,1.8,6.6,1.4,1.1,6.8,5.1,4.6,2.7,1.6,0.3,3.4,4.1,3.8
佐賀,1.1,0.9,1.1,0.5,0.5,0.3,0.1,0.1,0.4,0.0,0.2,0.2,0.4,0.1,0.1,0.0,0.0,0.1,0.1,0.0
長崎,1.0,1.3,1.3,0.3,1.2,1.7,0.4,0.4,1.2,0.1,0.5,2.9,2.0,1.6,1.4,0.6,0.0,1.1,1.2,1.4
熊本,2.2,3.8,4.6,1.1,3.4,2.2,1.2,0.3,0.9,0.5,0.4,2.1,1.8,2.5,1.2,0.8,0.0,0.4,1.6,1.0
大分,9.3,3.5,5.4,0.8,4.4,3.1,1.0,0.5,1.3,0.6,0.2,0.8,1.4,1.9,1.4,0.9,0.8,0.4,0.9,1.0
宮崎,0.4,0.5,0.7,0.1,0.5,0.6,0.4,0.0,0.1,0.0,0.0,0.4,0.5,0.8,0.9,0.0,0.0,0.2,0.3,0.3
鹿児島,0.7,0.5,1.4,0.4,0.3,1.0,0.2,0.1,0.4,0.4,0.0,1.0,2.2,1.5,1.3,0.4,0.0,0.4,0.7,0.9
沖縄,4.6,11.5,6.0,2.1,0.8,3.0,0.2,0.1,0.2,0.4,0.7,1.9,2.6,3.1,2.0,2.5,0.0,3.8,3.0,1.1
